,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,1549.0,3192.0,20075.0,19214.0,8777.0,3833.0,2547.0,59187.0
1999,160.0,358.0,130.0,70.0,449.0,1439.0,3675.0,21525.0,16106.0,12794.0,4449.0,1703.0,62858.0
2000,87.0,182.0,405.0,92.0,930.0,3211.0,1510.0,12791.0,10062.0,10226.0,5497.0,3175.0,48168.0
2001,165.0,699.0,1134.0,617.0,916.0,4227.0,1816.0,17679.0,15528.0,14292.0,8346.0,4256.0,69675.0
2002,590.0,667.0,901.0,405.0,1490.0,5702.0,7529.0,43484.0,48549.0,27110.0,23660.0,9174.0,169261.0
2003,3704.0,1573.0,1997.0,1038.0,1983.0,6848.0,15918.0,34765.0,47789.0,25341.0,19631.0,13813.0,174400.0
2004,2178.0,805.0,1035.0,1012.0,3131.0,9179.0,19179.0,43320.0,71522.0,23928.0,26424.0,16924.0,218637.0
2005,4314.0,1048.0,758.0,832.0,1746.0,2954.0,19364.0,63764.0,68560.0,26624.0,16790.0,6966.0,213720.0
2006,1973.0,879.0,903.0,709.0,843.0,2522.0,6995.0,34208.0,51028.0,18309.0,17474.0,8579.0,144422.0
2007,1918.0,1761.0,1431.0,760.0,1176.0,3519.0,6196.0,46385.0,73141.0,28731.0,16025.0,5437.0,186480.0
2008,938.0,527.0,860.0,569.0,383.0,1248.0,5901.0,21445.0,26469.0,23518.0,15450.0,6145.0,103453.0
2009,1095.0,354.0,584.0,435.0,673.0,1023.0,2327.0,9732.0,20527.0,19323.0,19104.0,6505.0,81682.0
2010,1697.0,1147.0,1176.0,633.0,1026.0,1911.0,5868.0,45018.0,43933.0,14798.0,12167.0,5240.0,134614.0
2011,771.0,271.0,427.0,465.0,528.0,1083.0,2445.0,8002.0,16987.0,9760.0,9815.0,7632.0,58186.0
2012,1203.0,438.0,484.0,473.0,855.0,1875.0,3095.0,20687.0,24067.0,14814.0,13259.0,5469.0,86719.0
2013,1181.0,374.0,738.0,518.0,796.0,1450.0,2531.0,9444.0,16786.0,10242.0,6615.0,8013.0,58688.0
2014,1573.0,473.0,1010.0,632.0,673.0,1628.0,2766.0,20113.0,20522.0,13221.0,12169.0,7773.0,82553.0
2015,2042.0,1047.0,572.0,762.0,407.0,1287.0,2817.0,20471.0,29326.0,19469.0,16935.0,11303.0,106438.0
2016,4657.0,1559.0,2024.0,1075.0,895.0,1663.0,6120.0,18340.0,20460.0,14234.0,11610.0,5124.0,87761.0
2017,796.0,379.0,736.0,618.0,805.0,1759.0,7986.0,21244.0,36569.0,14457.0,14105.0,7985.0,107439.0
2018,1444.0,888.0,1359.0,513.0,772.0,1980.0,4788.0,10421.0,24803.0,10654.0,8881.0,1842.0,68345.0
2019,1419.0,1368.0,3383.0,1702.0,854.0,1880.0,5318.0,30900.0,19925.0,7855.0,11297.0,3275.0,89176.0
2020,1200.0,1196.0,1641.0,789.0,829.0,2248.0,6803.0,29307.0,32017.0,17326.0,6321.0,3484.0,103161.0
2021,794.0,864.0,643.0,615.0,1166.0,2305.0,4977.0,28060.0,16742.0,11549.0,5779.0,1596.0,75090.0
2022,1226.0,584.0,490.0,384.0,2287.0,2562.0,5373.0,33116.0,41282.0,13911.0,11062.0,2756.0,115033.0
2023,1056.0,734.0,1019.0,768.0,1692.0,3075.0,5772.0,17373.0,26452.0,22061.0,13943.0,4701.0,98646.0
2024,2049.0,3157.0,2654.0,1117.0,1670.0,2842.0,11434.0,38266.0,28875.0,,,,92064.0
Máximo*,4657.0,1761.0,3383.0,1702.0,3131.0,9179.0,19364.0,63764.0,73141.0,28731.0,26424.0,16924.0,218637.0
Média*,1527.0,807.0,1034.0,659.0,1092.0,2697.0,6164.0,26218.0,32245.0,16666.0,12717.0,6208.0,107838.0
Mínimo*,87.0,182.0,130.0,70.0,383.0,1023.0,1510.0,8002.0,10062.0,7855.0,3833.0,1596.0,48168.0
